

 AStar finished. Time of algorithm: 13.514937 seconds.

Distance 958815.812168 meters.

The number of nodes visited is 6649 .

Node id:  404289448 | Distance:  907370.37  
Node id:  404289451 | Distance:  907092.83  
Node id:  404289453 | Distance:  906855.61  
Node id:  404289455 | Distance:  906618.65  
Node id:  404289456 | Distance:  906343.25  
Node id:  404289459 | Distance:  906071.06  
Node id:  404289461 | Distance:  905803.55  
Node id:  404289463 | Distance:  905539.84  
Node id:  404289465 | Distance:  905205.67  
Node id:  404289466 | Distance:  904876.42  
Node id:  404289468 | Distance:  904623.63  
Node id:  404289470 | Distance:  904303.97  
Node id:  404289471 | Distance:  903887.74  
Node id:  404289473 | Distance:  903535.59  
Node id:  404289475 | Distance:  903310.57  
Node id:  404289478 | Distance:  903093.17  
Node id:  404289479 | Distance:  902669.24  
Node id:  404289481 | Distance:  902480.76  
Node id:  404289483 | Distance:  902343.72  
Node id:  404289485 | Distance:  901937.40  
Node id:  404289489 | Distance:  901861.84  
Node id: 1069374808 | Distance:  901800.34  
Node id: 1069374687 | Distance:  901785.68  
Node id: 1069391530 | Distance:  901733.65  
Node id: 1069391479 | Distance:  901716.40  
Node id:  404289497 | Distance:  901634.93  
Node id:  404289499 | Distance:  901584.01  
Node id:  404289500 | Distance:  901534.69  
Node id:  404289503 | Distance:  901492.43  
Node id:  404289508 | Distance:  901455.75  
Node id:  404289510 | Distance:  901401.60  
Node id:  404289514 | Distance:  901331.96  
Node id:  404289516 | Distance:  901246.79  
Node id:  404289518 | Distance:  901169.73  
Node id:  404289520 | Distance:  901096.85  
Node id:  404289521 | Distance:  901019.62  
Node id:  404289522 | Distance:  900949.26  
Node id:  404289524 | Distance:  900882.37  
Node id:  404289528 | Distance:  900807.79  
Node id:  404289531 | Distance:  900726.06  
Node id:  404289534 | Distance:  900663.57  
Node id:  404289536 | Distance:  900568.52  
Node id:  404289540 | Distance:  900455.71  
Node id:  404289544 | Distance:  900358.82  
Node id:  404289548 | Distance:  900225.63  
Node id:  404289552 | Distance:  900086.42  
Node id:  404289556 | Distance:  899621.62  
Node id:  404289559 | Distance:  899468.90  
Node id:  404289562 | Distance:  898978.87  
Node id:  404289565 | Distance:  898792.50  
Node id:  404289567 | Distance:  898605.09  
Node id:  404289570 | Distance:  898399.80  
Node id:  404289572 | Distance:  898202.40  
Node id:  983804959 | Distance:  897327.74  
Node id: 1418292443 | Distance:  897022.24  
Node id: 1418292478 | Distance:  896872.13  
Node id:  983804960 | Distance:  896731.89  
Node id: 1419201151 | Distance:  896647.49  
Node id: 1418292497 | Distance:  896554.03  
Node id: 1419201155 | Distance:  896500.11  
Node id:  983804963 | Distance:  896406.23  
Node id: 1419201147 | Distance:  896322.03  
Node id: 1418292494 | Distance:  896234.12  
Node id:  404289574 | Distance:  896028.90  
Node id:  404289576 | Distance:  895571.33  
Node id:  983804966 | Distance:  895200.84  
Node id:  983804969 | Distance:  894966.30  
Node id:  983804973 | Distance:  894767.59  
Node id:  983804976 | Distance:  894562.10  
Node id:  404289577 | Distance:  894271.09  
Node id:  404289579 | Distance:  893521.26  
Node id:  404289581 | Distance:  892919.52  
Node id:  404289583 | Distance:  892602.15  
Node id:  404289586 | Distance:  892320.81  
Node id:  404289587 | Distance:  892043.92  
Node id:  404289590 | Distance:  891836.37  
Node id:  404289592 | Distance:  891453.96  
Node id:  404289594 | Distance:  891144.21  
Node id:  404289596 | Distance:  890838.00  
Node id:  404289599 | Distance:  890467.69  
Node id:  404289602 | Distance:  890199.99  
Node id:  404289604 | Distance:  889964.61  
Node id:  404289605 | Distance:  889694.94  
Node id:  404289606 | Distance:  889457.50  
Node id:  404289608 | Distance:  889147.13  
Node id:  404289611 | Distance:  888869.42  
Node id:  404289614 | Distance:  888560.97  
Node id:  404289617 | Distance:  888256.61  
Node id:  404289621 | Distance:  887955.41  
Node id:  404289622 | Distance:  887619.69  
Node id:  404289626 | Distance:  887313.58  
Node id:  404289629 | Distance:  887038.07  
